Date,COVID_Patients,COVID_ICUPatients,Bed_Occupancy,Link,
2021-03-01,882,222,70%,"https://web.archive.org/web/20210302003307/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-03-04,882,224,74%,"https://web.archive.org/web/20210304224214/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-03-08,925,222,71%,"https://web.archive.org/web/20210309002301/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-03-11,980,233,75%,"https://web.archive.org/web/20210311225441/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-03-15,1076,268,70%,"https://web.archive.org/web/20210316134636/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-03-18,1222,283,75%,"https://web.archive.org/web/20210318221222/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-03-22,1566,323,72%,"https://web.archive.org/web/20210324012054/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-03-25,1842,375,77%,"https://web.archive.org/web/20210326150345/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-03-29,2301,452,74%,"https://web.archive.org/web/20210330171921/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-04-01,2703,497,77%,"https://web.archive.org/web/20210402153117/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-04-05,3314,638,74%,"https://web.archive.org/web/20210406150841/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-04-08,3706,707,80%,"https://web.archive.org/web/20210409004048/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-04-12,4147,796,77%,"https://web.archive.org/web/20210412225958/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-04-15,4172,838,81%,"https://web.archive.org/web/20210416125711/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-04-19,4379,906,78%,"https://web.archive.org/web/20210420011017/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-04-26,3652,865,77%,"https://web.archive.org/web/20210427121301/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-04-29,3250,845,81%,"https://web.archive.org/web/20210430211529/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-05-03,3034,780,78%,"https://web.archive.org/web/20210504023700/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-05-06,2743,720,80%,"https://web.archive.org/web/20210507012335/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-05-13,2158,599,78%,"https://web.archive.org/web/20210514022249/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-05-17,1790,481,75%,"https://web.archive.org/web/20210519002629/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-05-20,1642,441,79%,"https://web.archive.org/web/20210520211154/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-05-24,1464,402,76%,"https://web.archive.org/web/20210525004435/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-05-27,1242,343,79%,"https://web.archive.org/web/20210528023728/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-06-03,907,257,78%,"https://web.archive.org/web/20210604143645/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-06-07,774,223,76%,"https://web.archive.org/web/20210608220056/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-06-14,521,149,75%,"https://web.archive.org/web/20210615014257/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-06-21,417,101,74%,"https://web.archive.org/web/20210622124950/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-06-28,324,71,74%,"http://web.archive.org/web/20210629001035/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-07-12,277,51,75%,"https://web.archive.org/web/20210714123847/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-07-19,310,60,75%,"https://web.archive.org/web/20210721181620/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-07-26,383,93,75%,"https://web.archive.org/web/20210728203118/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-08-03,464,105,74%,"https://web.archive.org/web/20210804155851/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-08-09,749,180,75%,"https://web.archive.org/web/20210812152145/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-08-16,923,216,77%,"https://web.archive.org/web/20210819160058/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-08-23,1154,256,76%,"https://web.archive.org/web/20210824004931/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-08-30,1246,331,77%,"https://web.archive.org/web/20210831134823/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-09-10,1461,382,81%,"https://web.archive.org/web/20210913144108/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-09-13,1512,406,78%,"https://web.archive.org/web/20210915134707/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-09-17,1477,412,82%,"https://web.archive.org/web/20210920132341/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
